1680, 1000, 0, 0, 748.527, 388.342, 2.10378, 53.0107, 109.075, 221.507, 93.1411, 10.9857, 404.67, 50, 272.651, 16.6054, 16.6054, 16.6054, 272.651, 16.6054, 16.6054, 16.6054, 1.55499, 0.175598, 16.6054, 16.6054, 16.4298, 20.0396, 3.86651, 16.6054, 16.6054, 12.7389
1760, 1000, 0, 0, 764.213, 392.36, 1.96004, 53.4387, 109.467, 221.678, 86.8421, 11.2133, 413.098, 50, 272.656, 16.6054, 16.6054, 16.6054, 272.656, 16.6054, 16.6054, 16.6054, 1.50695, 0.172031, 16.6054, 16.6054, 16.4334, 19.6102, 3.80592, 16.6054, 16.6054, 12.7995
1840, 1000, 0, 0, 778.482, 395.981, 1.83136, 53.825, 109.819, 221.443, 81.0524, 11.4203, 420.764, 50, 272.66, 16.6054, 16.6054, 16.6054, 272.66, 16.6054, 16.6054, 16.6054, 1.46663, 0.16891, 16.6054, 16.6054, 16.4365, 19.2366, 3.75243, 16.6054, 16.6054, 12.853
1920, 1000, 0, 0, 791.458, 399.244, 1.71561, 54.1738, 110.137, 220.886, 75.7363, 11.6085, 427.737, 50, 272.663, 16.6054, 16.6054, 16.6054, 272.663, 16.6054, 16.6054, 16.6054, 1.4324, 0.166168, 16.6054, 16.6054, 16.4392, 18.91, 3.70507, 16.6054, 16.6054, 12.9003
2000, 1000, 0, 0, 803.258, 402.189, 1.61107, 54.4891, 110.423, 220.079, 70.8591, 11.7797, 434.078, 50, 272.664, 16.6054, 16.6054, 16.6054, 272.664, 16.6054, 16.6054, 16.6054, 1.40306, 0.163751, 16.6054, 16.6054, 16.4416, 18.6234, 3.66302, 16.6054, 16.6054, 12.9424
2080, 1000, 0, 0, 813.986, 404.848, 1.51635, 54.7743, 110.681, 219.078, 66.3876, 11.9354, 439.844, 50, 272.665, 16.6054, 16.6054, 16.6054, 272.665, 16.6054, 16.6054, 16.6054, 1.37772, 0.161614, 16.6054, 16.6054, 16.4438, 18.371, 3.62562, 16.6054, 16.6054, 12.9798
2160, 1000, 0, 0, 823.739, 407.25, 1.4303, 55.0322, 110.914, 217.933, 62.2903, 12.077, 445.087, 50, 272.666, 16.6054, 16.6054, 16.6054, 272.666, 16.6054, 16.6054, 16.6054, 1.35568, 0.159718, 16.6054, 16.6054, 16.4457, 18.1479, 3.59226, 16.6054, 16.6054, 13.0131
2240, 1000, 0, 0, 832.606, 409.422, 1.35194, 55.2657, 111.124, 216.683, 58.5376, 12.2057, 449.854, 50, 272.666, 16.6054, 16.6054, 16.6054, 272.666, 16.6054, 16.6054, 16.6054, 1.33639, 0.158034, 16.6054, 16.6054, 16.4474, 17.9502, 3.56246, 16.6054, 16.6054, 13.0429
2320, 1000, 0, 0, 840.666, 411.385, 1.28045, 55.4771, 111.314, 215.361, 55.1018, 12.3227, 454.188, 50, 272.666, 16.6054, 16.6054, 16.6054, 272.666, 16.6054, 16.6054, 16.6054, 1.31944, 0.156533, 16.6054, 16.6054, 16.4489, 17.7746, 3.53579, 16.6054, 16.6054, 13.0696
2400, 1000, 0, 0, 847.991, 413.162, 1.21515, 55.6686, 111.486, 213.993, 51.9571, 12.4291, 458.129, 50, 272.666, 16.6054, 16.6054, 16.6054, 272.666, 16.6054, 16.6054, 16.6054, 1.30448, 0.155193, 16.6054, 16.6054, 16.4502, 17.6182, 3.51189, 16.6054, 16.6054, 13.0935
2480, 1000, 0, 0, 854.65, 414.771, 1.15542, 55.8422, 111.642, 212.603, 49.0799, 12.5259, 461.711, 50, 272.666, 16.6054, 16.6054, 16.6054, 272.666, 16.6054, 16.6054, 16.6054, 1.29122, 0.153995, 16.6054, 16.6054, 16.4514, 17.4785, 3.49044, 16.6054, 16.6054, 13.115
2560, 1000, 0, 0, 860.701, 416.227, 1.10073, 55.9995, 111.782, 211.206, 46.4478, 12.6138, 464.968, 50, 272.666, 16.6054, 16.6054, 16.6054, 272.666, 16.6054, 16.6054, 16.6054, 1.27945, 0.152922, 16.6054, 16.6054, 16.4525, 17.3537, 3.47116, 16.6054, 16.6054, 13.1342
2640, 1000, 0, 0, 866.2, 417.546, 1.05064, 56.1421, 111.91, 209.819, 44.0406, 12.6938, 467.929, 50, 272.666, 16.6054, 16.6054, 16.6054, 272.666, 16.6054, 16.6054, 16.6054, 1.26896, 0.15196, 16.6054, 16.6054, 16.4534, 17.2419, 3.45382, 16.6054, 16.6054, 13.1516
